,treino,previsto
gamma1,[0.22860972534891622],[0.17079636454582214]
gamma2,[0.8578370973942192],[0.7065452933311462]
gamma3,[0.8745326053736207],[0.6611588001251221]
gamma4,[0.7976159923774808],[0.728920042514801]
JIX,[0.9304842831042459],[1.2916905879974365]
JIY,[-0.9766906124157178],[-0.607296347618103]
JIZ,[0.4719832395937509],[-0.5664187073707581]
JXI,[-0.6839745504705037],[0.0714958980679512]
JYI,[0.9726789033256467],[0.6364500522613525]
JZI,[-0.9662386915840475],[-1.0889818668365479]
JXX,[0.7589825362693423],[0.12612082064151764]
JXY,[0.3627013288028291],[0.20936866104602814]
JXZ,[0.7146847649630497],[1.5008004903793335]
JYX,[0.9996324683322388],[0.9851621985435486]
JYY,[-0.5205696356724228],[-0.14439736306667328]
JYZ,[-0.3238444854866003],[-0.6097793579101562]
JZX,[0.41638866597025537],[0.43937158584594727]
JZY,[-0.4388366283137255],[-0.14332060515880585]
JZZ,[-0.4733714857050786],[-0.753089427947998]
