,treino,previsto
gamma1,[0.3493243355051877],[0.33250701427459717]
gamma2,[0.16679970202499006],[0.15565083920955658]
gamma3,[0.34767461274915756],[0.339619904756546]
gamma4,[0.03029517373803181],[0.06174755468964577]
JIX,[-0.3524933083584687],[-0.30993232131004333]
JIY,[0.24005897043108937],[0.16907623410224915]
JIZ,[-0.9830400010208644],[-0.9987752437591553]
JXI,[0.9657155745444512],[0.9436208009719849]
JYI,[0.6443170123795019],[0.6604593992233276]
JZI,[0.9980395764003489],[1.0708818435668945]
JXX,[-0.4732993977256994],[-0.4832596480846405]
JXY,[-0.601022697802895],[-0.5050011873245239]
JXZ,[-0.8905240506758743],[-0.9367181658744812]
JYX,[-0.6123952492363249],[-0.7100843787193298]
JYY,[-0.951628553680506],[-0.9163170456886292]
JYZ,[0.38347605655689154],[0.45622900128364563]
JZX,[-0.26866060598167785],[-0.25051864981651306]
JZY,[0.6311232813762566],[0.5450219511985779]
JZZ,[0.5213440527032356],[0.48752090334892273]
