,treino,previsto
gamma1,[0.9009141618624731],[0.9161097407341003]
gamma2,[0.22983153776309395],[0.24074062705039978]
gamma3,[0.44584221367087673],[0.4424496591091156]
gamma4,[0.16676022890484743],[0.1575162708759308]
JIX,[-0.007687660399174678],[-0.036920804530382156]
JIY,[0.7135280737268923],[0.707202136516571]
JIZ,[-0.8226115535480942],[-0.8340065479278564]
JXI,[-0.24315592595339663],[-0.1979341208934784]
JYI,[-0.901677355883151],[-0.9115861654281616]
JZI,[0.29958585220893297],[0.2643892467021942]
JXX,[-0.6216283712709287],[-0.5915537476539612]
JXY,[-0.3820884662461579],[-0.369064599275589]
JXZ,[0.6372988369628543],[0.6440105438232422]
JYX,[-0.8907656012382117],[-0.9012665152549744]
JYY,[-0.692922154771433],[-0.6992466449737549]
JYZ,[-0.397379389990171],[-0.37758031487464905]
JZX,[0.6231667131509544],[0.6439805030822754]
JZY,[-0.04911682328475431],[-0.05522327870130539]
JZZ,[0.25230496685491355],[0.2673878073692322]
