,treino,previsto
gamma1,[0.7212885992572478],[0.7208390831947327]
gamma2,[0.08366591038506865],[0.08418367058038712]
gamma3,[0.679464779137179],[0.6802085041999817]
gamma4,[0.005343265292397037],[0.005273622926324606]
JXX,[0.40822888780668243],[0.4090346097946167]
JXY,[0.6079899762951007],[0.6073982119560242]
JXZ,[0.6062115991790376],[0.6059409379959106]
JYX,[-0.5972657695612691],[-0.5974348783493042]
JYY,[0.6388346370785187],[0.6398115158081055]
JYZ,[0.30593781135973064],[0.30648213624954224]
JZX,[-0.7051380860833518],[-0.704559326171875]
JZY,[0.7226628276219034],[0.7223225235939026]
JZZ,[-0.11992738845557072],[-0.1195201724767685]
JIX,[-0.047683475541308695],[-0.04756913706660271]
JIY,[0.2604381086377703],[0.26040562987327576]
JIZ,[-0.19207806086305412],[-0.19199566543102264]
JXI,[0.8400480253526539],[0.8398052453994751]
JYI,[-0.9662967591954601],[-0.9643693566322327]
JZI,[0.9752211014725047],[0.9761061072349548]
