,treino,previsto
gamma1,[0.011103140095212849],[0.0097489720210433]
gamma2,[0.06936843811723081],[0.06769448518753052]
gamma3,[0.17029397548628933],[0.16384750604629517]
gamma4,[0.23062657285541344],[0.23643606901168823]
JIX,[0.9567097167419933],[0.9673798680305481]
JIY,[-0.8909546899790852],[-0.8929387927055359]
JIZ,[0.45132344234864985],[0.45502883195877075]
JXI,[-0.032276513351115144],[-0.02587408944964409]
JYI,[0.8834464903328145],[0.8784729838371277]
JZI,[-0.18629102358141614],[-0.1932593435049057]
JXX,[0.8384859880845335],[0.8177171945571899]
JXY,[-0.6817044022321801],[-0.6940851807594299]
JXZ,[0.9895603626777179],[0.9906349778175354]
JYX,[-0.1740409161067018],[-0.18691037595272064]
JYY,[-0.6337030386141642],[-0.6505960822105408]
JYZ,[-0.3078017914359601],[-0.31229981780052185]
JZX,[0.2615917474199978],[0.25609955191612244]
JZY,[-0.931611574528584],[-0.9429140090942383]
JZZ,[-0.22563199046343807],[-0.22374406456947327]
