,treino,previsto
gamma1,[0.16722420906574653],[0.1671735644340515]
gamma2,[0.7281792514390089],[0.7278479337692261]
gamma3,[0.45794494925975726],[0.45771926641464233]
gamma4,[0.5049149694368028],[0.5047961473464966]
JXX,[0.12087053202375708],[0.12059309333562851]
JXY,[0.48856793143996136],[0.4880576729774475]
JXZ,[0.8530443734443238],[0.8526177406311035]
JYX,[-0.010164243217845925],[-0.010031074285507202]
JYY,[-0.06292454119659796],[-0.06282268464565277]
JYZ,[-0.7440855515429825],[-0.7440730929374695]
JZX,[0.5685450839408246],[0.5684143304824829]
JZY,[-0.8610006166330297],[-0.860645592212677]
JZZ,[-0.27322762119529287],[-0.27305036783218384]
JIX,[-0.8583821458818548],[-0.8577167391777039]
JIY,[-0.1308244925173181],[-0.13016431033611298]
JIZ,[-0.5075004579580764],[-0.5069900155067444]
JXI,[-0.10862841764031073],[-0.1090003252029419]
JYI,[-0.48782436581795374],[-0.4875410795211792]
JZI,[0.7229725984230293],[0.7225831747055054]
