,treino,previsto
gamma1,[0.9238491686434372],[0.844249427318573]
gamma2,[0.7081149807839483],[0.6146615743637085]
gamma3,[0.04844033403057124],[0.03730984404683113]
gamma4,[0.8813673855462563],[0.8687251210212708]
JIX,[0.9164187596345457],[0.6203123927116394]
JIY,[-0.7192628198472104],[-0.363040030002594]
JIZ,[-0.9527677057223489],[-0.861579179763794]
JXI,[0.997261307345829],[0.9216146469116211]
JYI,[-0.6314927085942939],[-0.5575805306434631]
JZI,[-0.75881587356935],[-0.6336801052093506]
JXX,[0.3028424811158388],[0.16363510489463806]
JXY,[-0.3087103248748666],[-0.4233843982219696]
JXZ,[0.7791018795916058],[0.7273598313331604]
JYX,[-0.536517020027848],[-0.48766785860061646]
JYY,[0.9189701236733989],[0.8111154437065125]
JYZ,[-0.36109632289252636],[-0.25972941517829895]
JZX,[0.20228457717799309],[0.2001248002052307]
JZY,[0.8641752086877563],[1.0630242824554443]
JZZ,[0.3705207367707548],[0.3411208391189575]
