,treino,previsto
gamma1,[0.5449414806032167],[0.5410376191139221]
gamma2,[0.2204406220406967],[0.21956197917461395]
gamma3,[0.5892656838759087],[0.5850902795791626]
gamma4,[0.8094304566778266],[0.7980043888092041]
JXX,[0.7843591354096908],[0.7743124961853027]
JXY,[-0.8261223347411677],[-0.814803421497345]
JXZ,[-0.15615636062945915],[-0.1563558429479599]
JYX,[-0.9404055611238593],[-0.9314783215522766]
JYY,[-0.5627240503927933],[-0.5634729266166687]
JYZ,[0.010710576206724776],[0.007037892937660217]
JZX,[-0.9469280606322728],[-0.9393259882926941]
JZY,[-0.602324698626703],[-0.5968416333198547]
JZZ,[0.2997688755590464],[0.30160072445869446]
JIX,[0.2788535969157675],[0.2749492824077606]
JIY,[-0.9499784895546661],[-0.9421111941337585]
JIZ,[-0.4499413632617615],[-0.4481348395347595]
JXI,[-0.5535785237023545],[-0.5516737699508667]
JYI,[0.4729424283280248],[0.46741771697998047]
JZI,[0.3533989748458226],[0.3481174409389496]
