,treino,previsto
gamma1,[0.7547543800675904],[0.7515990138053894]
gamma2,[0.7663789974861774],[0.7630029916763306]
gamma3,[0.08742803931759291],[0.08709656447172165]
gamma4,[0.9927014610359678],[0.985646665096283]
JXX,[0.4847330814617574],[0.48182737827301025]
JXY,[-0.069108702867124],[-0.06953830271959305]
JXZ,[0.654012639158295],[0.6505079865455627]
JYX,[-0.5126541824952315],[-0.5096853971481323]
JYY,[0.2065909779120334],[0.20555657148361206]
JYZ,[-0.2588586539007094],[-0.25900477170944214]
JZX,[-0.019133266542065597],[-0.018090620636940002]
JZY,[0.9278939782306672],[0.9218806028366089]
JZZ,[-0.5667219849454446],[-0.5667498111724854]
JIX,[-0.8329589576928287],[-0.829508364200592]
JIY,[-0.6552513842656074],[-0.6523300409317017]
JIZ,[0.3676231008548627],[0.3689536154270172]
JXI,[-0.6772806584499753],[-0.6740408539772034]
JYI,[0.8984180459228328],[0.8959726095199585]
JZI,[0.6886560437412614],[0.6872811317443848]
