,treino,previsto
gamma1,[0.4196168693608048],[0.30343756079673767]
gamma2,[0.7304536193560192],[0.6825489401817322]
gamma3,[0.4472075177512177],[0.31530287861824036]
gamma4,[0.17043578788226488],[0.12760302424430847]
JIX,[0.09623810762339824],[-0.7066306471824646]
JIY,[-0.3083363533238903],[-0.005447909235954285]
JIZ,[0.6897021771332552],[0.8625923991203308]
JXI,[-0.42280512918931357],[-0.4062289595603943]
JYI,[0.02069005261749912],[-0.13977909088134766]
JZI,[-0.31237144182748366],[-0.15113499760627747]
JXX,[-0.16901214393001562],[-0.7213820815086365]
JXY,[0.9477175926021346],[0.6479837894439697]
JXZ,[-0.7925346218433929],[-0.8398287296295166]
JYX,[-0.11059342843000564],[0.0045546917244791985]
JYY,[-0.5503848671455052],[-1.2930982112884521]
JYZ,[-0.3008668707978617],[-0.2780698537826538]
JZX,[0.9974802210612592],[0.6305702924728394]
JZY,[-0.3414020699641964],[-0.5754383206367493]
JZZ,[0.21555557164949524],[-0.6652126908302307]
