,treino,previsto
gamma1,[0.149835057407401],[0.14968599379062653]
gamma2,[0.7231696718848062],[0.722314715385437]
gamma3,[0.16751077963049055],[0.16747747361660004]
gamma4,[0.654655200922515],[0.6541953682899475]
JXX,[0.10611895139196825],[0.10526151210069656]
JXY,[-0.2329118720894543],[-0.23186390101909637]
JXZ,[0.46324841325362565],[0.4619949460029602]
JYX,[0.15285591795039477],[0.1515529453754425]
JYY,[0.562419135109645],[0.5614644289016724]
JYZ,[0.3231619447148433],[0.3234499394893646]
JZX,[0.6785960349192279],[0.6781414151191711]
JZY,[-0.12121097819798488],[-0.12199464440345764]
JZZ,[-0.6899011584123196],[-0.6900156736373901]
JIX,[-0.23795862000845713],[-0.2379349321126938]
JIY,[-0.5385616273790497],[-0.5381602048873901]
JIZ,[-0.6679265513717296],[-0.6671815514564514]
JXI,[0.8276668695454259],[0.8267529010772705]
JYI,[0.155878050571864],[0.15512900054454803]
JZI,[0.38026531463053437],[0.3817455768585205]
