,treino,previsto
gamma1,[0.3642906472729208],[0.36300382018089294]
gamma2,[0.9552362077987966],[0.9514645338058472]
gamma3,[0.01127596271534248],[0.01103591825813055]
gamma4,[0.7216819040125406],[0.7203821539878845]
JXX,[0.13348005804138263],[0.13116389513015747]
JXY,[0.4947781939171796],[0.49328604340553284]
JXZ,[0.5097966322719836],[0.5069088339805603]
JYX,[0.8583989113564305],[0.8545242547988892]
JYY,[-0.45177555601451247],[-0.44921591877937317]
JYZ,[-0.2667563735632268],[-0.2656916081905365]
JZX,[0.434689013949763],[0.43546798825263977]
JZY,[0.1705933202916765],[0.16892403364181519]
JZZ,[0.5007357462750803],[0.502864420413971]
JIX,[0.09738921128764444],[0.09827513247728348]
JIY,[0.5010819007713414],[0.5004349946975708]
JIZ,[0.49461345881920815],[0.4943438172340393]
JXI,[0.7300902479000198],[0.7276505827903748]
JYI,[-0.42818641019276615],[-0.42554688453674316]
JZI,[0.9311449267290317],[0.924375593662262]
