,treino,previsto
gamma1,[0.1692370701348863],[0.1693122386932373]
gamma2,[0.3602371232890349],[0.360259473323822]
gamma3,[0.44091632364843825],[0.44081753492355347]
gamma4,[0.2288147816548517],[0.22883495688438416]
JIX,[0.23428295333990445],[0.23429733514785767]
JIY,[0.7802771064051002],[0.7803614139556885]
JIZ,[-0.0870255604078809],[-0.08688579499721527]
JXI,[0.42280951861583915],[0.4225695729255676]
JYI,[0.8739626067564656],[0.873977780342102]
JZI,[0.041119655381228304],[0.04138366878032684]
JXX,[0.46768034181955564],[0.4676211476325989]
JXY,[0.45606486545824554],[0.45601460337638855]
JXZ,[0.7163732339305475],[0.7161563634872437]
JYX,[-0.9264151318174876],[-0.9265468120574951]
JYY,[-0.661415621972901],[-0.6612472534179688]
JYZ,[0.9939517430031608],[0.9939184188842773]
JZX,[0.4936040808612847],[0.49333956837654114]
JZY,[-0.47800393580086764],[-0.47834512591362]
JZZ,[0.48488572323438395],[0.48516085743904114]
