,treino,previsto
gamma1,[0.07873212256130502],[0.07868210226297379]
gamma2,[0.8385794417948504],[0.8376832008361816]
gamma3,[0.7748150558613741],[0.774795413017273]
gamma4,[0.7401692871206411],[0.7400275468826294]
JXX,[-0.3338666967613588],[-0.3335353434085846]
JXY,[-0.25525056072843344],[-0.25516948103904724]
JXZ,[0.6297316462233915],[0.6299869418144226]
JYX,[-0.6333304606700121],[-0.6332535743713379]
JYY,[0.8193628972743414],[0.8189496397972107]
JYZ,[-0.017661007920774408],[-0.017006147652864456]
JZX,[-0.8573255728224154],[-0.8569586873054504]
JZY,[0.8356247341269967],[0.8352227807044983]
JZZ,[0.14599702737085796],[0.1452784389257431]
JIX,[0.2969944399577662],[0.2971000373363495]
JIY,[0.40273908193734953],[0.4025503695011139]
JIZ,[0.9140940053161357],[0.9134195446968079]
JXI,[-0.6071937818236794],[-0.6061146855354309]
JYI,[-0.8692615292310002],[-0.8679956793785095]
JZI,[0.6485148599678836],[0.648402750492096]
