,treino,previsto
gamma1,[0.465937574267109],[0.46531131863594055]
gamma2,[0.4306967863428379],[0.4299301207065582]
gamma3,[0.005389255905331569],[0.005224002990871668]
gamma4,[0.5624015709181892],[0.5617412328720093]
JXX,[0.5424739695589225],[0.5414373874664307]
JXY,[0.8158004931533465],[0.8140137791633606]
JXZ,[0.16443652246127072],[0.1621164232492447]
JYX,[0.3624441530787714],[0.3612234890460968]
JYY,[0.07276205494110943],[0.07301820814609528]
JYZ,[0.692585565702907],[0.6903027296066284]
JZX,[-0.5508338991250497],[-0.5485917329788208]
JZY,[0.36813535669462083],[0.36823612451553345]
JZZ,[0.2025907571809149],[0.20404605567455292]
JIX,[-0.6008225872917998],[-0.5983909368515015]
JIY,[0.23010520368993959],[0.22980867326259613]
JIZ,[-0.7857793521751026],[-0.7833064198493958]
JXI,[0.8103557816972058],[0.810871958732605]
JYI,[-0.6158465411883403],[-0.6151151061058044]
JZI,[-0.07755771611098128],[-0.07792355120182037]
