,treino,previsto
gamma1,[0.3821258776361548],[0.5166913866996765]
gamma2,[0.2597144974749366],[0.2672729790210724]
gamma3,[0.9030730537030369],[0.7550391554832458]
gamma4,[0.04104246726610428],[0.007352177053689957]
JIX,[-0.7093276763334386],[-0.7744923830032349]
JIY,[-0.30097748941397007],[-0.2611512243747711]
JIZ,[-0.6741283351047271],[-0.5216966867446899]
JXI,[-0.5082135837716129],[-0.5796438455581665]
JYI,[0.38476156435115083],[0.16857728362083435]
JZI,[-0.6899586608088255],[-0.7140297293663025]
JXX,[-0.2981621320585077],[-0.33358776569366455]
JXY,[-0.5989112539604846],[-0.4356147050857544]
JXZ,[0.9488189626598429],[0.8232520818710327]
JYX,[-0.017848451176140756],[-0.2030215859413147]
JYY,[-0.3818888638509741],[-0.45235127210617065]
JYZ,[-0.18004349647137707],[-0.3878233730792999]
JZX,[0.6561123682325138],[0.6026174426078796]
JZY,[-0.2643523124079703],[-0.14497676491737366]
JZZ,[0.635377617060706],[0.7139844298362732]
