,treino,previsto
gamma1,[0.9274756314280604],[0.9271228909492493]
gamma2,[0.8289200487784194],[0.8286641836166382]
gamma3,[0.8066523467023234],[0.8062475919723511]
gamma4,[0.8004478385429662],[0.8002132773399353]
JIX,[-0.527903820525131],[-0.5272481441497803]
JIY,[-0.7936679315385684],[-0.7929993271827698]
JIZ,[-0.20788351477863798],[-0.20768463611602783]
JXI,[-0.6900554583951795],[-0.6897479891777039]
JYI,[-0.8669698086408202],[-0.8667316436767578]
JZI,[-0.19681797102985032],[-0.19681887328624725]
JXX,[0.8359100861754378],[0.835259199142456]
JXY,[0.600904702991617],[0.6004101037979126]
JXZ,[0.5303252050108769],[0.5301923751831055]
JYX,[-0.5561436486193647],[-0.5556219220161438]
JYY,[0.07336001634962708],[0.0732441172003746]
JYZ,[-0.44663471311709957],[-0.4467175006866455]
JZX,[-0.6546709414292622],[-0.6544023156166077]
JZY,[-0.7876334151369397],[-0.7870674133300781]
JZZ,[-0.571199134842167],[-0.5712314248085022]
