,treino,previsto
gamma1,[0.5449414806032167],[0.5447378754615784]
gamma2,[0.2204406220406967],[0.22044192254543304]
gamma3,[0.5892656838759087],[0.5890944004058838]
gamma4,[0.8094304566778266],[0.8092898726463318]
JXX,[0.7843591354096908],[0.7840370535850525]
JXY,[-0.8261223347411677],[-0.8258308172225952]
JXZ,[-0.15615636062945915],[-0.1559557467699051]
JYX,[-0.9404055611238593],[-0.9400725364685059]
JYY,[-0.5627240503927933],[-0.5626484155654907]
JYZ,[0.010710576206724776],[0.01067306473851204]
JZX,[-0.9469280606322728],[-0.9466936588287354]
JZY,[-0.602324698626703],[-0.602052628993988]
JZZ,[0.2997688755590464],[0.29968494176864624]
JIX,[0.2788535969157675],[0.2786996364593506]
JIY,[-0.9499784895546661],[-0.9496941566467285]
JIZ,[-0.4499413632617615],[-0.44990992546081543]
JXI,[-0.5535785237023545],[-0.5532969832420349]
JYI,[0.4729424283280248],[0.47282952070236206]
JZI,[0.3533989748458226],[0.35313358902931213]
