,treino,previsto
gamma1,[0.6556656514896784],[0.642586350440979]
gamma2,[0.7707825372818101],[0.7976911664009094]
gamma3,[0.6486473098880531],[0.6427234411239624]
gamma4,[0.7519567103881644],[0.7042996883392334]
JIX,[0.8246867187194984],[0.5592333674430847]
JIY,[-0.011300505399674421],[-0.05826188623905182]
JIZ,[0.13160290901296068],[-0.04365374520421028]
JXI,[-0.2934101986418025],[-0.2171008139848709]
JYI,[-0.7727670059828655],[-0.7954390645027161]
JZI,[-0.28923988122014976],[-0.5300278663635254]
JXX,[-0.654314601549209],[-0.5853385925292969]
JXY,[-0.7562164546869965],[-0.8299450278282166]
JXZ,[-0.6778506698956863],[-0.6519805788993835]
JYX,[-0.9340598937863975],[-0.8412296772003174]
JYY,[0.10681764632445323],[-0.07853969186544418]
JYZ,[-0.7618314373676482],[-0.7130926251411438]
JZX,[0.24341659002924376],[0.0938636064529419]
JZY,[-0.26427903177630796],[-0.42672374844551086]
JZZ,[0.8135483283424336],[0.8393750786781311]
