,treino,previsto
gamma1,[0.4000793027167511],[0.39985179901123047]
gamma2,[0.2487457597737761],[0.24868243932724]
gamma3,[0.13798799437073161],[0.13793642818927765]
gamma4,[0.4232457334469961],[0.4232526421546936]
JIX,[-0.8662320473144967],[-0.8663750886917114]
JIY,[-0.17351436714348134],[-0.1733047217130661]
JIZ,[-0.7789905321077226],[-0.7788951396942139]
JXI,[0.504222922837068],[0.5044229030609131]
JYI,[0.0225702197513038],[0.022310372442007065]
JZI,[-0.9006520110389387],[-0.9008325338363647]
JXX,[-0.9103850311286859],[-0.9098876118659973]
JXY,[0.4718687724460289],[0.4718626141548157]
JXZ,[-0.6913005045828078],[-0.6916192173957825]
JYX,[0.4674897796719699],[0.46775108575820923]
JYY,[0.26088743725565666],[0.2604711353778839]
JYZ,[0.008558276581305035],[0.008730841800570488]
JZX,[0.7115964277308915],[0.7117920517921448]
JZY,[0.20511445829206787],[0.2050757110118866]
JZZ,[0.14671333687288302],[0.14681130647659302]
