,treino,previsto
gamma1,[0.77529863915214],[0.7910205125808716]
gamma2,[0.34274672680843743],[0.304061621427536]
gamma3,[0.5901025879832493],[0.5415850281715393]
gamma4,[0.1603307626513215],[0.15500010550022125]
JIX,[0.8559831317553486],[0.7307790517807007]
JIY,[-0.6539462199039121],[-0.7677617073059082]
JIZ,[0.9412578465756445],[0.7179200649261475]
JXI,[-0.5237824485830533],[-0.5034817457199097]
JYI,[-0.07049588397328099],[-0.15104259550571442]
JZI,[0.7955231915539118],[0.7400932908058167]
JXX,[-0.28845257802171864],[-0.1805296093225479]
JXY,[0.016102540300439783],[0.09298264980316162]
JXZ,[-0.676948428038167],[-0.745202898979187]
JYX,[0.922305841157107],[0.7515779137611389]
JYY,[0.9705653285538425],[1.090849757194519]
JYZ,[-0.6566170474147057],[-0.5130053162574768]
JZX,[-0.7544846679233637],[-0.7902630567550659]
JZY,[-0.05489607943462049],[-0.07217081636190414]
JZZ,[0.03745363680889113],[-0.13733935356140137]
