,treino,previsto
gamma1,[0.011103140095212849],[0.010836468078196049]
gamma2,[0.06936843811723081],[0.06937398761510849]
gamma3,[0.17029397548628933],[0.17018307745456696]
gamma4,[0.23062657285541344],[0.23076476156711578]
JIX,[0.9567097167419933],[0.956696629524231]
JIY,[-0.8909546899790852],[-0.8907915949821472]
JIZ,[0.45132344234864985],[0.4511943459510803]
JXI,[-0.032276513351115144],[-0.03207511454820633]
JYI,[0.8834464903328145],[0.8833879232406616]
JZI,[-0.18629102358141614],[-0.18614670634269714]
JXX,[0.8384859880845335],[0.838401198387146]
JXY,[-0.6817044022321801],[-0.6815780997276306]
JXZ,[0.9895603626777179],[0.9896886944770813]
JYX,[-0.1740409161067018],[-0.1742132008075714]
JYY,[-0.6337030386141642],[-0.6335390210151672]
JYZ,[-0.3078017914359601],[-0.30741843581199646]
JZX,[0.2615917474199978],[0.26128584146499634]
JZY,[-0.931611574528584],[-0.9319314956665039]
JZZ,[-0.22563199046343807],[-0.22572611272335052]
