,treino,previsto
gamma1,[0.7911525137028831],[0.7909049987792969]
gamma2,[0.007468944436742619],[0.0075137862004339695]
gamma3,[0.3833047283684954],[0.3834085762500763]
gamma4,[0.30461586515781447],[0.30449241399765015]
JXX,[0.35697982544055074],[0.3565569818019867]
JXY,[-0.8706931801415108],[-0.8704892992973328]
JXZ,[-0.0059663070718503075],[-0.006034098099917173]
JYX,[-0.6081501633286799],[-0.6079198122024536]
JYY,[-0.930926402572763],[-0.9305469989776611]
JYZ,[0.9592415959706198],[0.959149956703186]
JZX,[0.40975020468332324],[0.4098812937736511]
JZY,[-0.27806031697958034],[-0.2778916358947754]
JZZ,[0.5519991186261384],[0.5520850419998169]
JIX,[-0.2872035864745557],[-0.28672119975090027]
JIY,[0.6623205548983861],[0.6619343757629395]
JIZ,[-0.2952427056704183],[-0.2949526011943817]
JXI,[-0.8825503740913454],[-0.882219672203064]
JYI,[-0.05333894071130718],[-0.053464632481336594]
JZI,[0.4563627662832759],[0.4562084674835205]
