,treino,previsto
gamma1,[0.4000793027167511],[0.39863121509552]
gamma2,[0.2487457597737761],[0.22401617467403412]
gamma3,[0.13798799437073161],[0.11497265100479126]
gamma4,[0.4232457334469961],[0.40509405732154846]
JIX,[-0.8662320473144967],[-0.9718256592750549]
JIY,[-0.17351436714348134],[-0.18192604184150696]
JIZ,[-0.7789905321077226],[-0.6523594856262207]
JXI,[0.504222922837068],[0.5146995186805725]
JYI,[0.0225702197513038],[0.07780518382787704]
JZI,[-0.9006520110389387],[-0.9207563400268555]
JXX,[-0.9103850311286859],[-0.8166958093643188]
JXY,[0.4718687724460289],[0.47882673144340515]
JXZ,[-0.6913005045828078],[-0.66815185546875]
JYX,[0.4674897796719699],[0.47127845883369446]
JYY,[0.26088743725565666],[0.20674476027488708]
JYZ,[0.008558276581305035],[0.06822478026151657]
JZX,[0.7115964277308915],[0.6902148127555847]
JZY,[0.20511445829206787],[0.17768865823745728]
JZZ,[0.14671333687288302],[0.2415546178817749]
