,treino,previsto
gamma1,[0.597688556395288],[0.5976323485374451]
gamma2,[0.5421165774770644],[0.5421332120895386]
gamma3,[0.5157541356479434],[0.5156530737876892]
gamma4,[0.9307106913239862],[0.9303006529808044]
JXX,[-0.10699918374312611],[-0.10711576044559479]
JXY,[0.1547744383110674],[0.15471011400222778]
JXZ,[-0.23580587094563144],[-0.2357369214296341]
JYX,[0.8238095190865289],[0.8235139846801758]
JYY,[0.7571137578606488],[0.7568637728691101]
JYZ,[0.44747802913247137],[0.4474804997444153]
JZX,[-0.8879859075596246],[-0.8878134489059448]
JZY,[0.9795089930244083],[0.9792673587799072]
JZZ,[0.09779775817461123],[0.09772860258817673]
JIX,[0.8272859451097823],[0.8268998861312866]
JIY,[-0.7250439608255377],[-0.724723756313324]
JIZ,[0.11214027252682701],[0.1120411828160286]
JXI,[-0.033955024334235695],[-0.033946018666028976]
JYI,[0.9179608298470616],[0.9179461002349854]
JZI,[-0.23922049672899326],[-0.23929817974567413]
