,treino,previsto
gamma1,[0.4606660816810936],[0.4827890694141388]
gamma2,[0.961985163786831],[0.7818415760993958]
gamma3,[0.17655246550171377],[0.15776699781417847]
gamma4,[0.6047448911757226],[0.549349308013916]
JIX,[-0.08278658122587723],[-0.008528540842235088]
JIY,[0.75573580747802],[0.9496219754219055]
JIZ,[-0.936307039182035],[-1.037230372428894]
JXI,[-0.43514770769241484],[-0.4644830524921417]
JYI,[0.9235823398396055],[0.9750657677650452]
JZI,[0.32863746890923196],[0.4851306080818176]
JXX,[-0.7432552611528482],[-0.603519856929779]
JXY,[-0.3032215345335192],[-0.44654136896133423]
JXZ,[0.7594986370688406],[0.6849197149276733]
JYX,[-0.11847555907257856],[-0.05956659093499184]
JYY,[-0.9427359472588261],[-0.8001753687858582]
JYZ,[0.7923633416986142],[0.77021723985672]
JZX,[-0.7402518531783084],[-0.8042908906936646]
JZY,[0.2825321585235483],[0.2744397222995758]
JZZ,[0.23915971379161394],[0.13922180235385895]
