,treino,previsto
gamma1,[0.9847400031826039],[0.9827793836593628]
gamma2,[0.31455515098964815],[0.3135312795639038]
gamma3,[0.9890104295709],[0.9898722171783447]
gamma4,[0.1294383270769628],[0.13015082478523254]
JIX,[-0.774085659647674],[-0.7716259956359863]
JIY,[-0.738295666193135],[-0.7377722859382629]
JIZ,[0.1945217804922421],[0.19647008180618286]
JXI,[-0.643909152948758],[-0.6388099789619446]
JYI,[-0.7350065613100774],[-0.7347341775894165]
JZI,[-0.07180288786206579],[-0.07606625556945801]
JXX,[-0.16486406011996246],[-0.16439512372016907]
JXY,[-0.5733417102051386],[-0.5710666179656982]
JXZ,[-0.21664558108338805],[-0.21437856554985046]
JYX,[0.684527873325528],[0.6825293302536011]
JYY,[-0.7377955078124652],[-0.7355050444602966]
JYZ,[-0.6248275905664575],[-0.6228063106536865]
JZX,[-0.9444071589857421],[-0.9415660500526428]
JZY,[-0.520225806988122],[-0.5192586183547974]
JZZ,[-0.8100296643317768],[-0.8057550191879272]
