,treino,previsto
gamma1,[0.4121982082245681],[0.40112245082855225]
gamma2,[0.3921160702731351],[0.4189075827598572]
gamma3,[0.4143186456422864],[0.42747899889945984]
gamma4,[0.14720958617343982],[0.13609205186367035]
JIX,[0.36848190482414656],[0.3827475905418396]
JIY,[-0.8083253830463917],[-0.8040512204170227]
JIZ,[-0.6661703874666143],[-0.6635624170303345]
JXI,[0.21024771548237609],[0.20633940398693085]
JYI,[-0.34392793595973714],[-0.3592066168785095]
JZI,[0.8292446415583807],[0.8430293798446655]
JXX,[0.5761022388154311],[0.5988525152206421]
JXY,[0.7293919108689626],[0.7069711685180664]
JXZ,[-0.17093465529655072],[-0.17545591294765472]
JYX,[0.6576844368628596],[0.7023134231567383]
JYY,[0.13409102615190394],[0.11146164685487747]
JYZ,[0.6612263399279708],[0.6688838601112366]
JZX,[-0.3576098895078468],[-0.35987576842308044]
JZY,[0.09643259359449252],[0.08891268819570541]
JZZ,[-0.11943636623090592],[-0.10235171020030975]
