,treino,previsto
gamma1,[0.4121982082245681],[0.4120379090309143]
gamma2,[0.3921160702731351],[0.39207106828689575]
gamma3,[0.4143186456422864],[0.4141557514667511]
gamma4,[0.14720958617343982],[0.14722783863544464]
JIX,[0.36848190482414656],[0.36851856112480164]
JIY,[-0.8083253830463917],[-0.8079917430877686]
JIZ,[-0.6661703874666143],[-0.6659567356109619]
JXI,[0.21024771548237609],[0.2104017436504364]
JYI,[-0.34392793595973714],[-0.3436693549156189]
JZI,[0.8292446415583807],[0.8291417956352234]
JXX,[0.5761022388154311],[0.5760310888290405]
JXY,[0.7293919108689626],[0.7292441129684448]
JXZ,[-0.17093465529655072],[-0.1709277480840683]
JYX,[0.6576844368628596],[0.6574423313140869]
JYY,[0.13409102615190394],[0.13403673470020294]
JYZ,[0.6612263399279708],[0.6611816883087158]
JZX,[-0.3576098895078468],[-0.3575500547885895]
JZY,[0.09643259359449252],[0.09645985066890717]
JZZ,[-0.11943636623090592],[-0.11943358182907104]
