,treino,previsto
gamma1,[0.5277693445209781],[0.5364352464675903]
gamma2,[0.9678965934609308],[0.7823266983032227]
gamma3,[0.9345193264078987],[1.015622615814209]
gamma4,[0.09292144624864485],[0.12225621193647385]
JIX,[0.7765361529049761],[0.9393003582954407]
JIY,[-0.20001120805797412],[-0.34730595350265503]
JIZ,[0.17724036554846423],[0.06143792346119881]
JXI,[0.7195733470855228],[0.9451035261154175]
JYI,[-0.5429215932707987],[-0.3777264654636383]
JZI,[0.03143456804703959],[0.02954779379069805]
JXX,[0.16746097114721215],[0.2751442790031433]
JXY,[0.8943990439534582],[0.8850922584533691]
JXZ,[-0.9356372202874645],[-0.8473300933837891]
JYX,[-0.8621126594669188],[-0.7504304051399231]
JYY,[-0.35983168136833243],[-0.081903837621212]
JYZ,[0.6501840361127005],[0.6260858774185181]
JZX,[0.6862991754840158],[0.9643169045448303]
JZY,[-0.729217640330404],[-0.8093239068984985]
JZZ,[0.8390800400871314],[0.8883267045021057]
