,treino,previsto
gamma1,[0.6489745531369242],[0.648942768573761]
gamma2,[0.9009004917506227],[0.900805652141571]
gamma3,[0.11320596465314436],[0.11321122199296951]
gamma4,[0.46906904778216374],[0.46911951899528503]
JXX,[0.24580338977940386],[0.24588842689990997]
JXY,[0.4835739785214588],[0.48349228501319885]
JXZ,[0.5903871311313933],[0.5902530550956726]
JYX,[0.8849005675541006],[0.8848705887794495]
JYY,[0.4797971494798614],[0.479676216840744]
JYZ,[0.844649993330834],[0.8445961475372314]
JZX,[-0.9419895434327705],[-0.9419893622398376]
JZY,[-0.0687546912437893],[-0.06870350241661072]
JZZ,[0.8867134339966274],[0.8866207003593445]
