,treino,previsto
gamma1,[0.9760813786842278],[1.0033141374588013]
gamma2,[0.7029155842610357],[0.6601340174674988]
gamma3,[0.3428296389618385],[0.34272003173828125]
gamma4,[0.379948855514633],[0.373372346162796]
JXX,[-0.8531466903953369],[-0.873833954334259]
JXY,[0.1887238582724753],[0.18003736436367035]
JXZ,[0.9788939235548184],[0.9658294916152954]
JYX,[-0.31203169079243565],[-0.3025670647621155]
JYY,[0.08794858485146739],[0.053868427872657776]
JYZ,[-0.25131913562220887],[-0.27486690878868103]
JZX,[0.47920496341231167],[0.4897676110267639]
JZY,[0.37092763164172804],[0.39091530442237854]
JZZ,[0.1974549908787],[0.20452474057674408]
