,treino,previsto
gamma1,[0.7304444585170966],[0.7515769004821777]
gamma2,[0.4323894557693134],[0.32803958654403687]
gamma3,[0.5600881671017948],[0.5697466731071472]
gamma4,[0.5427750652860777],[0.5921986699104309]
JXX,[-0.3425989589338041],[-0.33298584818840027]
JXY,[0.966427833152556],[1.0502002239227295]
JXZ,[0.918495070954692],[0.8568778038024902]
JYX,[0.8366488800851453],[0.8060855865478516]
JYY,[0.5798112643432451],[0.49925562739372253]
JYZ,[0.7501332473545428],[0.700984001159668]
JZX,[-0.9991944506389123],[-0.9930012226104736]
JZY,[0.253978106028669],[0.343040406703949]
JZZ,[-0.5047147084859811],[-0.48886483907699585]
