,treino,previsto
gamma1,[0.305900980269444],[0.2763443887233734]
gamma2,[0.4240801565062292],[0.3579367995262146]
gamma3,[0.5885140140252595],[0.7077354192733765]
gamma4,[0.1243916494838736],[0.15500108897686005]
JXX,[-0.24607539521922805],[-0.2740371823310852]
JXY,[0.8535770154526414],[0.9263275861740112]
JXZ,[0.6868934782644844],[0.6084250211715698]
JYX,[-0.5719084600959132],[-0.5247827768325806]
JYY,[0.7434162244908751],[0.7042310833930969]
JYZ,[0.2729234915013832],[0.24262018501758575]
JZX,[-0.9152157476835985],[-0.9833666086196899]
JZY,[0.9059441202489178],[0.9690201878547668]
JZZ,[-0.4886326635670657],[-0.47278475761413574]
