,treino,previsto
gamma1,[0.842263936662764],[0.8062527775764465]
gamma2,[0.13110224609376742],[0.14753229916095734]
gamma3,[0.18758620471677123],[0.20023897290229797]
gamma4,[0.02779642050712894],[0.020953042432665825]
JXX,[-0.774085659647674],[-0.7585926055908203]
JXY,[-0.738295666193135],[-0.7098423838615417]
JXZ,[0.1945217804922421],[0.19650375843048096]
JYX,[-0.643909152948758],[-0.6453835368156433]
JYY,[-0.7350065613100774],[-0.7367399334907532]
JYZ,[-0.07180288786206579],[-0.06912494450807571]
JZX,[-0.16486406011996246],[-0.16916881501674652]
JZY,[-0.5733417102051386],[-0.6186562776565552]
JZZ,[-0.21664558108338805],[-0.2459794133901596]
