,treino,previsto
gamma1,[0.4105259240114544],[0.41557082533836365]
gamma2,[0.3800892996387989],[0.46711358428001404]
gamma3,[0.3998964924293077],[0.4091954529285431]
gamma4,[0.07255160439549668],[0.030240792781114578]
JXX,[0.819538475847744],[1.0686562061309814]
JXY,[-0.41184191848264295],[-0.4287598431110382]
JXZ,[-0.08113224133756103],[-0.041100408881902695]
JYX,[-0.7272825789128776],[-0.7332012057304382]
JYY,[0.9901214406925392],[1.189711332321167]
JYZ,[-0.6907120075849054],[-0.7882494330406189]
JZX,[0.3478791069281282],[0.41788020730018616]
JZY,[0.19605110908336165],[0.290538489818573]
JZZ,[0.4292474339778447],[0.6325974464416504]
