,treino,previsto
gamma1,[0.9760813786842278],[1.0081124305725098]
gamma2,[0.7029155842610357],[0.6325374245643616]
gamma3,[0.3428296389618385],[0.33942267298698425]
gamma4,[0.379948855514633],[0.3662576973438263]
JXX,[-0.8531466903953369],[-0.8857593536376953]
JXY,[0.1887238582724753],[0.1794051229953766]
JXZ,[0.9788939235548184],[0.9471071362495422]
JYX,[-0.31203169079243565],[-0.2944028973579407]
JYY,[0.08794858485146739],[0.0284123495221138]
JYZ,[-0.25131913562220887],[-0.29231470823287964]
JZX,[0.47920496341231167],[0.49801674485206604]
JZY,[0.37092763164172804],[0.40139344334602356]
JZZ,[0.1974549908787],[0.19752591848373413]
