,treino,previsto
gamma1,[0.4910757744119296],[0.5203546285629272]
gamma2,[0.30905556807451295],[0.316043496131897]
gamma3,[0.40997825176431146],[0.38815590739250183]
gamma4,[0.8280561841162569],[0.7716744542121887]
JXX,[-0.7093276763334386],[-0.6733207106590271]
JXY,[-0.30097748941397007],[-0.29988470673561096]
JXZ,[-0.6741283351047271],[-0.6433349251747131]
JYX,[-0.5082135837716129],[-0.5914799571037292]
JYY,[0.38476156435115083],[0.34739458560943604]
JYZ,[-0.6899586608088255],[-0.7962779402732849]
JZX,[-0.2981621320585077],[-0.22282220423221588]
JZY,[-0.5989112539604846],[-0.5464717745780945]
JZZ,[0.9488189626598429],[0.9933821558952332]
