,treino,previsto
gamma1,[0.4323888389514402],[0.4324224293231964]
gamma2,[0.3723746808209262],[0.3723699748516083]
gamma3,[0.852288633190853],[0.8522677421569824]
gamma4,[0.5469839042910056],[0.5470353960990906]
JXX,[-0.9228963213252399],[-0.9229414463043213]
JXY,[0.3924486452741056],[0.3924081325531006]
JXZ,[-0.712133557209278],[-0.7121469378471375]
JYX,[-0.0749354903418249],[-0.07490412890911102]
JYY,[0.34329352823553405],[0.3433334529399872]
JYZ,[0.5859025433105887],[0.585983157157898]
JZX,[-0.09362154306757531],[-0.09363800287246704]
JZY,[-0.0034555404038976167],[-0.003514896146953106]
JZZ,[-0.9616857839513044],[-0.9616463780403137]
