,treino,previsto
gamma1,[0.4105259240114544],[0.41051021218299866]
gamma2,[0.3800892996387989],[0.3799435794353485]
gamma3,[0.3998964924293077],[0.39982783794403076]
gamma4,[0.07255160439549668],[0.0726059153676033]
JXX,[0.819538475847744],[0.8191841840744019]
JXY,[-0.41184191848264295],[-0.4116070568561554]
JXZ,[-0.08113224133756103],[-0.08105827122926712]
JYX,[-0.7272825789128776],[-0.7273181080818176]
JYY,[0.9901214406925392],[0.9898415207862854]
JYZ,[-0.6907120075849054],[-0.6904662847518921]
JZX,[0.3478791069281282],[0.3477511703968048]
JZY,[0.19605110908336165],[0.19584427773952484]
JZZ,[0.4292474339778447],[0.42911022901535034]
