,treino,previsto
gamma1,[0.6658137355569159],[0.6656525731086731]
gamma2,[0.1854598161134392],[0.1855546534061432]
gamma3,[0.3899285200718041],[0.38986867666244507]
gamma4,[0.23942936687819738],[0.2394641786813736]
JXX,[-0.3843864905324452],[-0.3844304382801056]
JXY,[0.15591575435007843],[0.1559211164712906]
JXZ,[-0.4687639291636485],[-0.4687609076499939]
JYX,[0.6157921028659785],[0.615760087966919]
JYY,[-0.0655655579974792],[-0.06565907597541809]
JYZ,[-0.3349603865251771],[-0.3349401354789734]
JZX,[0.7935051924165137],[0.7933673858642578]
JZY,[0.5848239797390551],[0.5847133994102478]
JZZ,[0.7192273898749051],[0.7192326784133911]
