,treino,previsto
gamma1,[0.5027374637992491],[0.5024359822273254]
gamma2,[0.6354437055408811],[0.6351864337921143]
gamma3,[0.9537326488081348],[0.9532074332237244]
gamma4,[0.9867575298826218],[0.9860193729400635]
JXX,[0.49458253244656714],[0.4941740036010742]
JXY,[-0.5944947353081806],[-0.5939293503761292]
JXZ,[-0.5896826918056928],[-0.5894057154655457]
JYX,[0.2015142521860358],[0.20133671164512634]
JYY,[-0.8864854257125787],[-0.8859671354293823]
JYZ,[0.5526572011585595],[0.5522002577781677]
JZX,[0.5288222950287738],[0.5284433364868164]
JZY,[-0.9165274392042873],[-0.9159732460975647]
JZZ,[0.36678988670422896],[0.36682650446891785]
