,treino,previsto
gamma1,[0.4591337627723967],[0.4592248201370239]
gamma2,[0.45313243113814283],[0.45317789912223816]
gamma3,[0.4949826938891777],[0.4950706958770752]
gamma4,[0.19223084224268217],[0.19225774705410004]
JXX,[-0.5465882812379024],[-0.5467025637626648]
JXY,[0.9245900716687656],[0.9244879484176636]
JXZ,[-0.7473382026982809],[-0.7474028468132019]
JYX,[0.4096338457432158],[0.4095722734928131]
JYY,[-0.8296294638984947],[-0.8297830820083618]
JYZ,[-0.5051180301418299],[-0.5049713850021362]
JZX,[0.9982570783251581],[0.9983206391334534]
JZY,[-0.5812047362221744],[-0.581275999546051]
JZZ,[0.283736870144214],[0.28359270095825195]
