,treino,previsto
gamma1,[0.07199025068740816],[0.07192085683345795]
gamma2,[0.560915428900259],[0.5605642199516296]
gamma3,[0.26404199895882374],[0.2639208734035492]
gamma4,[0.6556721737484312],[0.655258059501648]
JXX,[-0.170512001382642],[-0.17028748989105225]
JXY,[-0.424599654760373],[-0.4241015911102295]
JXZ,[0.6894246819607532],[0.6888805627822876]
JYX,[-0.11245795401256231],[-0.11226610094308853]
JYY,[0.05745311741676429],[0.05715059116482735]
JYZ,[0.10251839349884273],[0.1024193987250328]
JZX,[-0.3221938636021444],[-0.3219544291496277]
JZY,[0.2789912288854657],[0.278799444437027]
JZZ,[0.8000753853551041],[0.7994124293327332]
