,treino,previsto
gamma1,[0.9600263501514082],[0.961947500705719]
gamma2,[0.020403045679433296],[0.02669484354555607]
gamma3,[0.013040577948985943],[0.01241034921258688]
gamma4,[0.4360070478690712],[0.4327734410762787]
JXX,[0.09360310707326613],[0.08579384535551071]
JXY,[-0.751762199047689],[-0.7505766153335571]
JXZ,[-0.439812774919055],[-0.4370810091495514]
JYX,[-0.13859556840738407],[-0.1382206827402115]
JYY,[-0.9662104295599947],[-0.949217677116394]
JYZ,[-0.0036095623537208965],[-0.01778576709330082]
JZX,[0.9040597871742617],[0.9011603593826294]
JZY,[-0.14288133986122675],[-0.14395135641098022]
JZZ,[0.6680513959234107],[0.6653561592102051]
