,treino,previsto
gamma1,[0.842263936662764],[0.8161078691482544]
gamma2,[0.13110224609376742],[0.14433270692825317]
gamma3,[0.18758620471677123],[0.19734740257263184]
gamma4,[0.02779642050712894],[0.02325485832989216]
JXX,[-0.774085659647674],[-0.7645338773727417]
JXY,[-0.738295666193135],[-0.7155101299285889]
JXZ,[0.1945217804922421],[0.19584138691425323]
JYX,[-0.643909152948758],[-0.6472968459129333]
JYY,[-0.7350065613100774],[-0.7362822890281677]
JYZ,[-0.07180288786206579],[-0.07020671665668488]
JZX,[-0.16486406011996246],[-0.16879867017269135]
JZY,[-0.5733417102051386],[-0.6062391400337219]
JZZ,[-0.21664558108338805],[-0.23643562197685242]
