,treino,previsto
gamma1,[0.06769746793327747],[0.06946149468421936]
gamma2,[0.6432199124652143],[0.6846553087234497]
gamma3,[0.992596950931832],[1.012518048286438]
gamma4,[0.2072168217777952],[0.18611671030521393]
JXX,[0.9318383760498881],[0.9484642744064331]
JXY,[0.11951182799780913],[0.14676664769649506]
JXZ,[-0.05265622357871269],[-0.01797384023666382]
JYX,[0.046558950858430315],[0.011801826767623425]
JYY,[0.5353201261569036],[0.5588417053222656]
JYZ,[0.9772120554889443],[1.0644398927688599]
JZX,[-0.1588688834408547],[-0.12299219518899918]
JZY,[-0.5381276295407358],[-0.5448322296142578]
JZZ,[-0.2506249305871704],[-0.2215915322303772]
