,treino,previsto
gamma1,[0.039740932475050506],[0.04913707450032234]
gamma2,[0.17677089786513922],[0.15464209020137787]
gamma3,[0.034987875506352184],[0.02512429840862751]
gamma4,[0.43946128473533685],[0.4540278911590576]
JXX,[-0.8504124862537785],[-0.9024747014045715]
JXY,[0.5320014716444283],[0.46918052434921265]
JXZ,[0.944187335187751],[0.9956448674201965]
JYX,[-0.16941362221762857],[-0.17260675132274628]
JYY,[0.889752232974109],[0.9117459058761597]
JYZ,[-0.1410672442944536],[-0.09227794408798218]
JZX,[0.24322790321746246],[0.23473870754241943]
JZY,[0.8389083130549975],[0.7837415337562561]
JZZ,[-0.5924918257624066],[-0.6150722503662109]
