,treino,previsto
gamma1,[0.45594588118356716],[0.40039509534835815]
gamma2,[0.047887516459941715],[0.045449331402778625]
gamma3,[0.9329624000750505],[1.0231190919876099]
gamma4,[0.9470780060029439],[1.0629985332489014]
JXX,[-0.7086614897917394],[-0.9274260997772217]
JXY,[-0.0901459909719573],[-0.2501131296157837]
JXZ,[0.5415676113180443],[0.5109493136405945]
JYX,[0.4110264538680559],[0.5445421934127808]
JYY,[0.4639179460665115],[0.29286623001098633]
JYZ,[-0.1329711302091925],[-0.08018974959850311]
JZX,[0.6000409142668555],[0.5672467947006226]
JZY,[0.0658028292851427],[0.11896561086177826]
JZZ,[-0.8396925816429961],[-0.9025272130966187]
