,treino,previsto
gamma1,[0.6068017336408379],[0.5592002868652344]
gamma2,[0.5812040171120031],[0.4253089129924774]
gamma3,[0.15838287025480557],[0.1971256583929062]
gamma4,[0.43066964029126864],[0.4104684889316559]
JXX,[0.9120685437784988],[0.8251123428344727]
JXY,[0.8956549741186988],[0.8488057851791382]
JXZ,[-0.8868972645463826],[-0.7201400399208069]
JYX,[-0.8302560096821567],[-0.7841074466705322]
JYY,[0.6709977562588991],[0.6026930212974548]
JYZ,[0.4719399781370466],[0.45099928975105286]
JZX,[0.3394608028804418],[0.440420925617218]
JZY,[-0.3837270848217116],[-0.3770500421524048]
JZZ,[0.21188833135692486],[0.21657760441303253]
