,treino,previsto
gamma1,[0.9917405840162875],[0.8573208451271057]
gamma2,[0.12236895925038416],[0.07896933704614639]
gamma3,[0.14061496110044236],[0.18992052972316742]
gamma4,[0.1733197006715852],[0.19705438613891602]
JXX,[-0.20502224603708497],[-0.20768670737743378]
JXY,[-0.6209768603323691],[-0.6472779512405396]
JXZ,[0.8048786399510626],[0.7339043617248535]
JYX,[0.25107473156469906],[0.28841981291770935]
JYY,[0.05334375453651985],[0.07013799250125885]
JYZ,[0.3934534044238047],[0.351106733083725]
JZX,[0.7049624374714418],[0.6899037957191467]
JZY,[0.37205632722347204],[0.417900025844574]
JZZ,[-0.7289865579589982],[-0.683424174785614]
