,treino,previsto
gamma1,[0.6306505848550839],[0.5804135203361511]
gamma2,[0.5006197765650313],[0.47673630714416504]
gamma3,[0.8511188349123333],[0.7415191531181335]
gamma4,[0.028351246084461268],[0.026973411440849304]
JXX,[0.598230738233454],[0.46142578125]
JXY,[-0.34818771187492725],[-0.2742651402950287]
JXZ,[-0.5190129698346531],[-0.5906897187232971]
JYX,[0.6451117387363627],[0.5742490291595459]
JYY,[-0.7698749260257931],[-0.8076378107070923]
JYZ,[-0.047526449664778925],[-0.10379257053136826]
JZX,[0.11578945815114117],[0.14036846160888672]
JZY,[0.22266613301352445],[0.1258145123720169]
JZZ,[-0.7090570694820459],[-0.7736621499061584]
