,treino,previsto
gamma1,[0.8736083929044367],[0.8735457062721252]
gamma2,[0.1075195632359407],[0.10752991586923599]
gamma3,[0.6493164540857067],[0.6493070721626282]
gamma4,[0.2180493456293846],[0.21802081167697906]
JXX,[0.0963156568326593],[0.09622962027788162]
JXY,[-0.7362170732482487],[-0.7361716628074646]
JXZ,[0.4230936845360489],[0.42305633425712585]
JYX,[-0.39549988816436876],[-0.39549124240875244]
JYY,[0.8766505495505419],[0.8765311241149902]
JYZ,[-0.6145633054693405],[-0.6145572066307068]
JZX,[0.5239700143912078],[0.5238917469978333]
JZY,[-0.6687169051968782],[-0.6686201095581055]
JZZ,[0.9321742923082421],[0.9321536421775818]
