,treino,previsto
gamma1,[0.0945328964594655],[0.10718898475170135]
gamma2,[0.5116781206617862],[0.4290408790111542]
gamma3,[0.15482334864507363],[0.1910078078508377]
gamma4,[0.2742295663585874],[0.3081907033920288]
JXX,[0.057870765880824626],[0.17943090200424194]
JXY,[0.1714937094997233],[0.14660796523094177]
JXZ,[0.6866524104671512],[0.694110631942749]
JYX,[0.7972892825291862],[0.8141396045684814]
JYY,[0.7643730549373535],[0.8277360200881958]
JYZ,[-0.27060839601498476],[-0.32818129658699036]
JZX,[0.897680879601374],[0.8853299021720886]
JZY,[-0.15185093946021722],[-0.10537924617528915]
JZZ,[-0.3876324692199542],[-0.38518786430358887]
