,treino,previsto
gamma1,[0.444573573873013],[0.47654426097869873]
gamma2,[0.2210391731572191],[0.22891558706760406]
gamma3,[0.45503295884771644],[0.42396530508995056]
gamma4,[0.024766967489568525],[0.006212265230715275]
JXX,[0.8497305032518905],[0.9074596166610718]
JXY,[0.8972115559863543],[0.8771538138389587]
JXZ,[0.7848666880971586],[0.7039077281951904]
JYX,[-0.8328986463386328],[-0.8180363178253174]
JYY,[0.18405445377147056],[0.20345424115657806]
JYZ,[-0.15250518353007725],[-0.16860102117061615]
JZX,[0.06017602023601287],[0.052437394857406616]
JZY,[-0.7393941175050389],[-0.7834467887878418]
JZZ,[-0.6160056849214146],[-0.6369637846946716]
