,treino,previsto
gamma1,[0.5764279589751974],[0.5763516426086426]
gamma2,[0.7812095675548225],[0.7811257839202881]
gamma3,[0.6615809723574216],[0.6614803075790405]
gamma4,[0.839298017459614],[0.8390028476715088]
JXX,[-0.23795862000845713],[-0.23796430230140686]
JXY,[-0.5385616273790497],[-0.5383619070053101]
JXZ,[-0.6679265513717296],[-0.6678324937820435]
JYX,[0.8276668695454259],[0.8274170160293579]
JYY,[0.155878050571864],[0.15582311153411865]
JYZ,[0.38026531463053437],[0.3802282512187958]
JZX,[0.10611895139196825],[0.10604555159807205]
JZY,[-0.2329118720894543],[-0.23285308480262756]
JZZ,[0.46324841325362565],[0.4631671905517578]
