,treino,previsto
gamma1,[0.23433096104669637],[0.23334187269210815]
gamma2,[0.9956448355104628],[0.9899658560752869]
gamma3,[0.47026350752244794],[0.46815043687820435]
gamma4,[0.8364614512743888],[0.8321067094802856]
JXX,[-0.5240707458162173],[-0.521115243434906]
JXY,[0.08845845059190371],[0.08856973797082901]
JXZ,[-0.2600896669038415],[-0.25863099098205566]
JYX,[0.20784007719238895],[0.20611506700515747]
JYY,[0.25144060821610803],[0.25029683113098145]
JYZ,[-0.8689422815203738],[-0.8646408319473267]
JZX,[-0.9736640168902517],[-0.9688037037849426]
JZY,[0.67493816419292],[0.6715186834335327]
JZZ,[-0.4812919713439847],[-0.4795604348182678]
