,treino,previsto
gamma1,[0.9611529205785535],[0.9609052538871765]
gamma2,[0.9852826642769212],[0.9848833084106445]
gamma3,[0.17169147629264714],[0.17158149182796478]
gamma4,[0.12275766603831817],[0.12275733053684235]
JXX,[0.8559831317553486],[0.8556135892868042]
JXY,[-0.6539462199039121],[-0.6537396907806396]
JXZ,[0.9412578465756445],[0.9409173727035522]
JYX,[-0.5237824485830533],[-0.5235541462898254]
JYY,[-0.07049588397328099],[-0.07043960690498352]
JYZ,[0.7955231915539118],[0.7952189445495605]
JZX,[-0.28845257802171864],[-0.2881585955619812]
JZY,[0.016102540300439783],[0.016241006553173065]
JZZ,[-0.676948428038167],[-0.6767411828041077]
