,treino,previsto
gamma1,[0.9119047595432644],[0.7952644228935242]
gamma2,[0.8785568789303244],[0.8581814169883728]
gamma3,[0.7237390145662357],[0.707897961139679]
gamma4,[0.056007046220187706],[0.0583207942545414]
JXX,[0.8272859451097823],[0.7776228785514832]
JXY,[-0.7250439608255377],[-0.7833014130592346]
JXZ,[0.11214027252682701],[0.09077779203653336]
JYX,[-0.033955024334235695],[0.05391959473490715]
JYY,[0.9179608298470616],[0.8381596207618713]
JYZ,[-0.23922049672899326],[-0.20730389654636383]
JZX,[-0.10699918374312611],[-0.09165254980325699]
JZY,[0.1547744383110674],[0.12825380265712738]
JZZ,[-0.23580587094563144],[-0.15344835817813873]
