,treino,previsto
gamma1,[0.4129795419466491],[0.4080342650413513]
gamma2,[0.1831484806929179],[0.19347389042377472]
gamma3,[0.34609910428201995],[0.305075079202652]
gamma4,[0.6307958737099989],[0.6010063886642456]
JXX,[0.9567097167419933],[0.873316764831543]
JXY,[-0.8909546899790852],[-0.8176413178443909]
JXZ,[0.45132344234864985],[0.46951693296432495]
JYX,[-0.032276513351115144],[-0.09963015466928482]
JYY,[0.8834464903328145],[0.803909957408905]
JYZ,[-0.18629102358141614],[-0.21581140160560608]
JZX,[0.8384859880845335],[0.7894437909126282]
JZY,[-0.6817044022321801],[-0.5761945247650146]
JZZ,[0.9895603626777179],[0.8930593132972717]
