,treino,previsto
gamma1,[0.7721889738983578],[0.8012760877609253]
gamma2,[0.18869807513374803],[0.19214065372943878]
gamma3,[0.6965874841150429],[0.7196587920188904]
gamma4,[0.3788296503970776],[0.3619040846824646]
JXX,[0.6289562908956208],[0.6155284643173218]
JXY,[-0.8079541131822325],[-0.8922868371009827]
JXZ,[0.8487886289478179],[0.8695650696754456]
JYX,[0.46084424662008483],[0.45848479866981506]
JYY,[-0.4853199609607668],[-0.5106739401817322]
JYZ,[-0.14503240733877742],[-0.16659356653690338]
JZX,[-0.9317073426318694],[-0.9794452786445618]
JZY,[-0.7054176645697114],[-0.7205542922019958]
JZZ,[0.3028950750933861],[0.2888447940349579]
