,treino,previsto
gamma1,[0.31450434093874435],[0.31447452306747437]
gamma2,[0.25508215274135215],[0.2550196349620819]
gamma3,[0.33905230728624136],[0.33900225162506104]
gamma4,[0.27594881602881005],[0.2758813202381134]
JXX,[-0.25881137975062707],[-0.2587614953517914]
JXY,[0.8152502726521875],[0.8151335120201111]
JXZ,[-0.2079467635711556],[-0.20788559317588806]
JYX,[-0.587893141865695],[-0.5878084301948547]
JYY,[0.6355952820309936],[0.6354408264160156]
JYZ,[0.5175681866126696],[0.5173718333244324]
JZX,[0.3965657038489854],[0.3964550197124481]
JZY,[-0.95637294402159],[-0.9562390446662903]
JZZ,[-0.18553914661270632],[-0.1855253279209137]
