,treino,previsto
gamma1,[0.305900980269444],[0.3049248456954956]
gamma2,[0.4240801565062292],[0.4213806390762329]
gamma3,[0.5885140140252595],[0.5859559178352356]
gamma4,[0.1243916494838736],[0.12395189702510834]
JXX,[-0.24607539521922805],[-0.24542485177516937]
JXY,[0.8535770154526414],[0.8490217328071594]
JXZ,[0.6868934782644844],[0.6837803721427917]
JYX,[-0.5719084600959132],[-0.5691904425621033]
JYY,[0.7434162244908751],[0.7393273115158081]
JYZ,[0.2729234915013832],[0.2720482647418976]
JZX,[-0.9152157476835985],[-0.9103481769561768]
JZY,[0.9059441202489178],[0.9044842720031738]
JZZ,[-0.4886326635670657],[-0.4892951250076294]
