,treino,previsto
gamma1,[0.7392757413295123],[0.7389107346534729]
gamma2,[0.6086024057140853],[0.6081925630569458]
gamma3,[0.544902257226378],[0.5445317029953003]
gamma4,[0.7561000117457155],[0.7546802163124084]
JXX,[0.463062260800422],[0.46216195821762085]
JXY,[0.8281235810354926],[0.827195405960083]
JXZ,[-0.9253401087353526],[-0.9247638583183289]
JYX,[-0.9912169497951127],[-0.9901604056358337]
JYY,[0.9869002798407656],[0.9854736328125]
JYZ,[-0.3629632766081221],[-0.36278772354125977]
JZX,[-0.6067349693132549],[-0.6059722900390625]
JZY,[-0.0025512448825091294],[-0.0025272860657423735]
JZZ,[0.102887313876878],[0.10247252136468887]
